ts,tempC,humidity
2025-11-11T10:35:09.321287,24.10,34.00
2025-11-11T10:35:09.423865,24.10,34.00
2025-11-11T10:35:09.526907,24.10,34.00
2025-11-11T10:35:09.629069,24.10,34.00
2025-11-11T10:35:09.731165,24.10,34.00
2025-11-11T10:35:09.833290,24.10,34.00
2025-11-11T10:35:09.935422,24.10,34.00
2025-11-11T10:35:10.038337,24.10,34.00
2025-11-11T10:35:10.141241,24.10,34.00
2025-11-11T10:35:10.244315,24.10,34.00
2025-11-11T10:35:10.347200,24.10,34.00
2025-11-11T10:35:10.450033,24.10,34.00
2025-11-11T10:35:10.552060,24.10,34.00
2025-11-11T10:35:10.654496,24.10,34.00
2025-11-11T10:35:10.756881,24.10,34.00
2025-11-11T10:35:10.859482,24.10,34.00
2025-11-11T10:35:10.961507,24.10,34.00
2025-11-11T10:35:11.064296,24.10,34.00
2025-11-11T10:35:11.167434,24.10,34.00
2025-11-11T10:35:11.270284,24.10,34.00
2025-11-11T10:35:11.373864,24.10,34.00
2025-11-11T10:35:11.476877,24.10,34.00
2025-11-11T10:35:11.579470,24.10,34.00
2025-11-11T10:35:11.682720,24.10,34.00
2025-11-11T10:35:11.784608,24.10,34.00
2025-11-11T10:35:11.886696,24.10,34.00
2025-11-11T10:35:11.988536,24.10,34.00
2025-11-11T10:35:12.090079,24.10,34.00
2025-11-11T10:35:12.191698,24.10,34.00
2025-11-11T10:35:12.293514,24.10,34.00
2025-11-11T10:35:12.395181,24.10,34.00
2025-11-11T10:35:12.496592,24.10,34.00
2025-11-11T10:35:12.598369,24.10,34.00
2025-11-11T10:35:12.701068,24.10,34.00
2025-11-11T10:35:12.803786,24.10,34.00
2025-11-11T10:35:12.905522,24.10,34.00
2025-11-11T10:35:13.007662,24.10,34.00
2025-11-11T10:35:13.110049,24.10,34.00
2025-11-11T10:35:13.211814,24.10,34.00
2025-11-11T10:35:13.313605,24.10,34.00
2025-11-11T10:35:13.415082,24.10,34.00
2025-11-11T10:35:13.516543,24.10,34.00
2025-11-11T10:35:13.618313,24.10,34.00
2025-11-11T10:35:13.720025,24.10,34.00
2025-11-11T10:35:13.821590,24.10,34.00
2025-11-11T10:35:13.923388,24.10,34.00
2025-11-11T10:35:14.025332,24.10,34.00
2025-11-11T10:35:14.127243,24.10,34.00
2025-11-11T10:35:14.229025,24.10,34.00
2025-11-11T10:35:14.331411,24.10,34.00
2025-11-11T10:35:14.433424,24.10,34.00
2025-11-11T10:35:14.534936,24.10,34.00
2025-11-11T10:35:14.636704,24.10,34.00
2025-11-11T10:35:14.738398,24.10,34.00
2025-11-11T10:35:14.839926,24.10,34.00
2025-11-11T10:35:14.942038,24.10,34.00
2025-11-11T10:35:15.044056,24.10,34.00
2025-11-11T10:35:15.146164,24.10,34.00
2025-11-11T10:35:15.248376,24.10,34.00
2025-11-11T10:35:15.350865,24.10,34.00
2025-11-11T10:35:15.453397,24.10,34.00
2025-11-11T10:35:15.555845,24.10,34.00
2025-11-11T10:35:15.658336,24.10,34.00
2025-11-11T10:35:15.760769,24.10,34.00
2025-11-11T10:35:15.863714,24.10,34.00
2025-11-11T10:35:15.966386,24.10,34.00
2025-11-11T10:35:16.069618,24.10,34.00
2025-11-11T10:35:16.173494,24.10,34.00
2025-11-11T10:35:16.275470,24.10,34.00
2025-11-11T10:35:16.378027,24.10,34.00
2025-11-11T10:35:16.480657,24.10,34.00
2025-11-11T10:35:16.583943,24.10,34.00
2025-11-11T10:35:16.686187,24.10,34.00
2025-11-11T10:35:16.788304,24.10,34.00
2025-11-11T10:35:16.890277,24.10,34.00
2025-11-11T10:35:16.992762,24.10,34.00
2025-11-11T10:35:17.095126,24.10,34.00
2025-11-11T10:35:17.197682,24.10,34.00
2025-11-11T10:35:17.300229,24.10,34.00
2025-11-11T10:35:17.402244,24.10,34.00
2025-11-11T10:35:17.504240,24.10,34.00
2025-11-11T10:35:17.605980,24.10,34.00
2025-11-11T10:35:17.707933,24.10,34.00
2025-11-11T10:35:17.809934,24.10,34.00
2025-11-11T10:35:17.911919,24.10,34.00
2025-11-11T10:35:18.014379,24.10,34.00
2025-11-11T10:35:18.115923,24.10,34.00
2025-11-11T10:35:18.217792,24.10,34.00
2025-11-11T10:35:18.319571,24.10,34.00
2025-11-11T10:35:18.422378,24.10,34.00
2025-11-11T10:35:18.524261,24.10,34.00
2025-11-11T10:35:18.626689,24.10,34.00
2025-11-11T10:35:18.728853,24.10,34.00
2025-11-11T10:35:18.830894,24.10,34.00
2025-11-11T10:35:18.933498,24.10,34.00
2025-11-11T10:35:19.035734,24.10,34.00
2025-11-11T10:35:19.137353,24.10,34.00
2025-11-11T10:35:19.239200,24.10,34.00
2025-11-11T10:35:19.341205,24.10,34.00
2025-11-11T10:35:19.442710,24.10,34.00
2025-11-11T10:35:19.544889,24.10,34.00
2025-11-11T10:35:19.646466,24.10,34.00
2025-11-11T10:35:19.748842,24.10,34.00
2025-11-11T10:35:19.851146,24.10,34.00
2025-11-11T10:35:19.953566,24.10,34.00
2025-11-11T10:35:20.056231,24.10,34.00
2025-11-11T10:35:20.158502,24.10,34.00
2025-11-11T10:35:20.260732,24.10,34.00
2025-11-11T10:35:20.363360,24.10,34.00
2025-11-11T10:35:20.465725,24.10,34.00
2025-11-11T10:35:20.567177,24.10,34.00
2025-11-11T10:35:20.669763,24.10,34.00
2025-11-11T10:35:20.771290,24.10,34.00
2025-11-11T10:35:20.872737,24.10,34.00
2025-11-11T10:35:20.974913,24.10,34.00
2025-11-11T10:35:21.076745,24.10,34.00
2025-11-11T10:35:21.179040,24.10,34.00
2025-11-11T10:35:21.281518,24.10,34.00
2025-11-11T10:35:21.384477,24.10,34.00
2025-11-11T10:35:21.486181,24.10,34.00
2025-11-11T10:35:21.588377,24.10,34.00
2025-11-11T10:35:21.690697,24.10,34.00
2025-11-11T10:35:21.792997,24.10,34.00
2025-11-11T10:35:21.895254,24.10,34.00
2025-11-11T10:35:21.996994,24.10,34.00
2025-11-11T10:35:22.098447,24.10,34.00
2025-11-11T10:35:22.201403,24.10,34.00
2025-11-11T10:35:22.303099,24.10,34.00
2025-11-11T10:35:22.404917,24.10,34.00
2025-11-11T10:35:22.507002,24.10,34.00
2025-11-11T10:35:22.608418,24.10,34.00
2025-11-11T10:35:22.710773,24.10,34.00
2025-11-11T10:35:22.812302,24.10,34.00
2025-11-11T10:35:22.913987,24.10,34.00
2025-11-11T10:35:23.015995,24.10,34.00
2025-11-11T10:35:23.117707,24.10,34.00
2025-11-11T10:35:23.219264,24.10,34.00
2025-11-11T10:35:23.321119,24.10,34.00
2025-11-11T10:35:23.422786,24.10,34.00
2025-11-11T10:35:23.524773,24.10,34.00
2025-11-11T10:35:23.626840,24.10,34.00
2025-11-11T10:35:23.728419,24.10,34.00
2025-11-11T10:35:23.830099,24.10,34.00
2025-11-11T10:35:23.932049,24.10,34.00
2025-11-11T10:35:24.034935,24.10,34.00
2025-11-11T10:35:24.136807,24.10,34.00
2025-11-11T10:35:24.239186,24.10,34.00
2025-11-11T10:35:24.341465,24.10,34.00
2025-11-11T10:35:24.443225,24.10,34.00
2025-11-11T10:35:24.545333,24.10,34.00
2025-11-11T10:35:24.646660,24.10,34.00
2025-11-11T10:35:24.748141,24.10,34.00
2025-11-11T10:35:24.849988,24.10,34.00
